"miRNA_cluster"	"subype/class"	"sign(up/down)"	"members"	"found"	"pval"	"fold_change"
"cl1217_chrX"	"3"	"up"	"MI0005531/MI0001652/MI0003187/MI0003686/MI0003188/MI0001446"	"hsa-miR-450a-5p/hsa-miR-450b-5p/hsa-miR-542-3p/hsa-miR-424-3p/hsa-miR-503-5p/hsa-miR-424-5p/hsa-miR-542-5p/hsa-miR-503-3p"	"0.002/0.045/0.012/0.079/0.01/0.07/0.159/0.461"	"0.787826535937948/0.743002989113027/0.669167465825495/0.453102796003232/0.619170061516226/0.535481522294153/0.322079798676485/0.0841693777781548"
"cl1217_chrX"	"4"	"down"	"MI0005531/MI0001652/MI0003187/MI0003686/MI0003188/MI0001446"	"hsa-miR-450a-5p/hsa-miR-450b-5p/hsa-miR-542-3p/hsa-miR-424-3p/hsa-miR-503-5p/hsa-miR-424-5p/hsa-miR-542-5p/hsa-miR-503-3p"	"0/0.001/0/0/0/0/0.007/0.036"	"-1.22589705748781/-1.17461543355222/-1.1492291725679/-1.11385731736542/-1.13726901102034/-0.903732125011513/-0.54878182112476/-0.0783125944469902"
"cl1222_chrX"	"1"	"down"	"MI0005533/MI0005537/MI0005528/MI0005538/MI0005534"	"hsa-miR-892a/hsa-miR-888-5p/hsa-miR-891b/hsa-miR-892b/hsa-miR-890"	"0/0.002/0/0/0.015"	"-0.572169240585968/-0.789338843123255/-0.756946995947395/-0.453201742265999/-0.175187488981372"
"cl1222_chrX"	"3"	"down"	"MI0005533/MI0005537/MI0005528/MI0005538/MI0005534"	"hsa-miR-892a/hsa-miR-888-5p/hsa-miR-891b/hsa-miR-892b/hsa-miR-890"	"0/0/0/0.005/0.002"	"-0.555430994498485/-0.779550491992688/-0.710003070792371/-0.395984864724734/-0.187796519421728"
"cl1222_chrX"	"4"	"up"	"MI0005533/MI0005537/MI0005528/MI0005538/MI0005534"	"hsa-miR-892a/hsa-miR-888-5p/hsa-miR-891b/hsa-miR-892b/hsa-miR-890"	"0/0/0/0/0"	"0.92709541729394/1.4101164088873/1.2372716040344/0.69669538056673/0.381410153925999"
"cl1224_chrX"	"4"	"up"	"MI0006649/MI0006648"	"hsa-miR-513b-5p/hsa-miR-513c-5p/hsa-miR-513c-3p"	"0/0.047/0.582"	"0.249117925233407/0.0465142094797116/-0.0283213567943614"
"cl1226_chrX"	"4"	"up"	"MI0003192/MI0003193/MI0003194/MI0003195"	"hsa-miR-508-3p/hsa-miR-508-5p/hsa-miR-506-5p/hsa-miR-513a-3p/hsa-miR-506-3p/hsa-miR-507"	"0.002/0/0.645/0.755/0.659/0.783"	"0.302430754595395/0.0840230224005584/-0.0110471075917842/0.00519038009242087/-0.00081217313543887/-0.0188340202575391"
"cl1227_chrX"	"1"	"down"	"MI0014251/MI0005530/MI0005717/MI0003196"	"hsa-miR-509-3-5p/hsa-miR-509-3p/hsa-miR-514b-3p/hsa-miR-509-5p/hsa-miR-514b-5p"	"0/0.004/0.675/0.132/0.036"	"-0.515609581899748/-0.229061828386667/-0.018547898447388/-0.0336676734612658/-0.0937621258685389"
"cl1227_chrX"	"4"	"up"	"MI0014251/MI0005530/MI0005717/MI0003196"	"hsa-miR-509-3-5p/hsa-miR-509-3p/hsa-miR-514b-3p/hsa-miR-509-5p/hsa-miR-514b-5p"	"0.031/0.005/0.651/0.705/0.002"	"0.359729502375319/0.229430495762282/0.00531431362901421/0.00462148112795161/0.120406576043799"
"cl1228_chrX"	"1"	"down"	"MI0003197/MI0003198/MI0003199/MI0003200"	"hsa-miR-514a-3p/hsa-miR-514a-5p/hsa-miR-510-5p"	"0/0/0.83"	"-0.99678056945243/-0.203718963645169/0.0140522123518201"
"cl1228_chrX"	"4"	"up"	"MI0003197/MI0003198/MI0003199/MI0003200"	"hsa-miR-514a-3p/hsa-miR-514a-5p/hsa-miR-510-5p"	"0/0/0.114"	"0.841728122711157/0.259155387234828/0.0413532178682907"
"cl1231_chrX"	"1"	"up"	"MI0000301/MI0001733"	"hsa-miR-224-5p/hsa-miR-452-5p/hsa-miR-224-3p"	"0/0/0"	"3.64685613933669/2.80965306471411/2.76991880259144"
"cl1231_chrX"	"4"	"down"	"MI0000301/MI0001733"	"hsa-miR-224-5p/hsa-miR-452-5p/hsa-miR-224-3p"	"0/0/0"	"-1.46065526573686/-1.13169585712424/-0.995959539040155"
"cl1232_chrX"	"1"	"up"	"MI0000111/MI0003763/MI0000112"	"hsa-miR-105-5p/hsa-miR-767-5p/hsa-miR-767-3p/hsa-miR-105-3p"	"0.05/0.03/0.007/0.125"	"0.446275903529447/0.831842698796206/0.508572105792335/0.0412993577009223"
"cl1232_chrX"	"3"	"down"	"MI0000111/MI0003763/MI0000112"	"hsa-miR-105-5p/hsa-miR-767-5p/hsa-miR-767-3p/hsa-miR-105-3p"	"0.027/0.001/0.061/0.177"	"-0.601626044179357/-0.724649862855556/-0.275465707880625/-0.058221195193636"
